FacilityEnglish,Hour,StandbyTime
Raging Spirits,11,41.42857142857143
Raging Spirits,12,35.90909090909091
Raging Spirits,13,36.0
Raging Spirits,14,36.458333333333336
Raging Spirits,15,40.833333333333336
Raging Spirits,16,41.388888888888886
Raging Spirits,17,41.111111111111114
Raging Spirits,18,38.0
Raging Spirits,19,17.25
Raging Spirits,20,10.294117647058824
Rapunzel's Lantern Festival,8,5.0
Rapunzel's Lantern Festival,9,5.0
Rapunzel's Lantern Festival,10,5.384615384615385
Rapunzel's Lantern Festival,11,15.0
Rapunzel's Lantern Festival,12,12.727272727272727
Rapunzel's Lantern Festival,13,27.6
Rapunzel's Lantern Festival,14,24.375
Rapunzel's Lantern Festival,15,39.166666666666664
Rapunzel's Lantern Festival,16,45.55555555555556
Rapunzel's Lantern Festival,17,37.5
Rapunzel's Lantern Festival,18,20.294117647058822
Rapunzel's Lantern Festival,19,26.5
Rapunzel's Lantern Festival,20,8.88888888888889
Scuttle's Scooter,8,4.166666666666667
Scuttle's Scooter,9,8.214285714285714
Scuttle's Scooter,10,9.23076923076923
Scuttle's Scooter,11,5.833333333333333
Scuttle's Scooter,12,5.0
Scuttle's Scooter,13,5.0
Scuttle's Scooter,14,10.0
Scuttle's Scooter,15,7.0
Scuttle's Scooter,16,5.0
Scuttle's Scooter,17,5.0
Scuttle's Scooter,18,5.0
Scuttle's Scooter,19,5.0
Scuttle's Scooter,20,5.0
Sindbad's Storybook Voyage,8,0.0
Sindbad's Storybook Voyage,9,0.0
Sindbad's Storybook Voyage,10,0.0
Sindbad's Storybook Voyage,11,0.0
Sindbad's Storybook Voyage,12,0.0
Sindbad's Storybook Voyage,13,0.0
Sindbad's Storybook Voyage,14,0.0
Sindbad's Storybook Voyage,15,0.0
Sindbad's Storybook Voyage,16,0.0
Sindbad's Storybook Voyage,17,0.0
Sindbad's Storybook Voyage,18,0.0
Sindbad's Storybook Voyage,19,0.0
Sindbad's Storybook Voyage,20,0.0
Soaring: Fantastic Flight,8,65.0
Soaring: Fantastic Flight,9,98.21428571428571
Soaring: Fantastic Flight,10,89.23076923076923
Soaring: Fantastic Flight,11,64.28571428571429
Soaring: Fantastic Flight,12,61.81818181818182
Soaring: Fantastic Flight,13,51.8
Soaring: Fantastic Flight,14,62.083333333333336
Soaring: Fantastic Flight,15,61.388888888888886
Soaring: Fantastic Flight,16,60.0
Soaring: Fantastic Flight,17,63.05555555555556
Soaring: Fantastic Flight,18,56.76470588235294
Soaring: Fantastic Flight,19,47.75
Soaring: Fantastic Flight,20,34.54545454545455
The Magic Lamp Theater,8,15.0
The Magic Lamp Theater,9,15.0
The Magic Lamp Theater,10,15.0
The Magic Lamp Theater,11,15.0
The Magic Lamp Theater,12,15.0
The Magic Lamp Theater,13,15.0
The Magic Lamp Theater,14,15.0
The Magic Lamp Theater,15,15.0
The Magic Lamp Theater,16,15.0
The Magic Lamp Theater,17,15.0
The Magic Lamp Theater,18,15.0
The Magic Lamp Theater,19,15.0
The Magic Lamp Theater,20,15.0
Tower of Terror,8,5.0
Tower of Terror,9,64.64285714285714
Tower of Terror,10,51.53846153846154
Tower of Terror,11,39.285714285714285
Tower of Terror,12,35.90909090909091
Tower of Terror,13,33.4
Tower of Terror,14,37.291666666666664
Tower of Terror,15,37.5
Tower of Terror,16,37.5
Tower of Terror,17,39.72222222222222
Tower of Terror,18,35.588235294117645
Tower of Terror,19,31.0
Tower of Terror,20,23.666666666666668
Toy Story Mania!,8,52.5
Toy Story Mania!,9,76.78571428571429
Toy Story Mania!,10,62.30769230769231
Toy Story Mania!,11,40.357142857142854
Toy Story Mania!,12,53.63636363636363
Toy Story Mania!,13,50.0
Toy Story Mania!,14,53.75
Toy Story Mania!,15,57.22222222222222
Toy Story Mania!,16,57.22222222222222
Toy Story Mania!,17,50.0
Toy Story Mania!,18,48.23529411764706
Toy Story Mania!,19,43.75
Toy Story Mania!,20,33.0
Turtle Talk,8,5.0
Turtle Talk,9,21.071428571428573
Turtle Talk,10,21.53846153846154
Turtle Talk,11,16.785714285714285
Turtle Talk,12,15.909090909090908
Turtle Talk,13,15.4
Turtle Talk,14,17.291666666666668
Turtle Talk,15,15.277777777777779
Turtle Talk,16,16.38888888888889
Turtle Talk,17,16.944444444444443
Turtle Talk,18,17.352941176470587
Turtle Talk,19,17.25
Turtle Talk,20,16.944444444444443
Venetian Gondolas,8,5.0
Venetian Gondolas,9,5.0
Venetian Gondolas,10,5.0
Venetian Gondolas,11,6.0
Venetian Gondolas,12,7.0
Venetian Gondolas,13,8.0
Venetian Gondolas,14,9.0
Venetian Gondolas,15,7.857142857142857
Venetian Gondolas,16,5.0
Venetian Gondolas,17,8.0
Venetian Gondolas,18,14.285714285714286
Venetian Gondolas,19,5.0
Venetian Gondolas,20,5.0
Whirlpool,8,5.0
Whirlpool,9,10.0
Whirlpool,10,14.615384615384615
Whirlpool,11,11.785714285714286
Whirlpool,12,19.09090909090909
Whirlpool,13,15.8
Whirlpool,14,17.708333333333332
Whirlpool,15,17.77777777777778
Whirlpool,16,17.5
Whirlpool,17,13.88888888888889
Whirlpool,18,10.0
Whirlpool,19,10.25
Whirlpool,20,5.555555555555555
